Report#,RecordDate,OfficerName,Status,Spec. Location,GroupName,ManagerNotified,ReportDate,IncidentOccurred,MethodOfReporting,RelatedEvent,Synopsis,Country,Region/Province,City/Town/Municipality,Category,Type
2015-000073,2015-07-23 15:14:00,"CAIRO, OPSCENTER",Report Sent to Review,AL MASSORA AREA,EGYPT,,2015-07-23 00:00:00,2015-07-23 00:00:00,,,"A Bomb exploded in Army’s Armored vehicle at Al Massora area, Rafah city, Sinai.",EGYPT,NORTH SINAI,RAFAH,TERRORISM,IED
2015-000074,2015-07-23 15:17:00,"CAIRO, OPSCENTER",Report Sent to Review,KAFR SAQR,EGYPT,,2015-07-23 00:00:00,2015-07-23 00:00:00,,,"Police Forces defused Two Homemade Bombs in front of Traffic department in Kafr SaQr City, Sharqia Governorate.",EGYPT,SHARQIA,KAFR SAQR,TERRORISM,BOMB DISCOVERY
2015-000092,2015-07-30 02:33:00,"CAIRO, OPSCENTER",Report Sent to Review,EL HARAM CITY,EGYPT,,2015-07-29 00:00:00,2015-07-29 00:00:00,OPEN SOURCE (ONLINE),,"An Armed attack on Niger Embassy in El Haram City, Giza Governorate.",EGYPT,GIZA,GIZA,TERRORISM,ARMED ATTACK
2015-000033,2015-07-13 16:04:00,"CAIRO, OPSCENTER",Report Sent to Review,ASYUT PUBLIC PRISON,EGYPT,,2015-07-13 00:00:00,2015-07-13 00:00:00,,,A bomb exploded near to Asyut Public Prison at Asyut Governorate.,EGYPT,ASYUT,NA,TERRORISM,BOMBING (OTHER THAN IED)
2015-000077,2015-07-23 15:28:00,"CAIRO, OPSCENTER",Report Sent to Review,AL MASSORA AREA,EGYPT,,2015-07-23 00:00:00,2015-07-23 00:00:00,OPEN SOURCE (ONLINE),,"A Bomb exploded in Army’s Armored vehicle at Al Massora area, Rafah city, Sinai.",EGYPT,NORTH SINAI,RAFAH,TERRORISM,IED
2015-000067,2015-07-21 23:51:00,"CAIRO, OPSCENTER",Report Sent to Review,SHEIKH ZAYED CITY 6TH OCTOBER,EGYPT,,2015-07-21 00:00:00,2015-07-21 00:00:00,OPEN SOURCE (ONLINE),,"A homemade bomb exploded at Sheikh Zayed 6th of October City, Giza Governorate.",EGYPT,CAIRO,16 OCTOBER CITY,TERRORISM,BOMBING (OTHER THAN IED)
2015-000039,2015-07-17 22:35:00,"GAMAL, ESLAM",Report Sent to Review,MARIOUTEYA CITY,EGYPT,,2015-07-14 00:00:00,2015-07-14 00:00:00,OPEN SOURCE (ONLINE),,"Demonstration By Mariouteya Citizens led to Stop Traffic on the Ring Road in the Two Directions in Mariouteya City , Giza Governorate.",EGYPT,GIZA,GIZA,CIVIL UNREST,NA
2015-000015,2015-05-17 22:33:00,REPORT EXEC,Report Sent to Review,,EGYPT,,2015-05-07 00:00:00,2015-05-07 00:00:00,,,"Floods in Red Sea coastal cities cause serious damage to homes, roads, power supply",EGYPT,RED SEA,HURGHADA,HAZARD,FLOODING
2015-000003,2015-05-17 22:05:00,REPORT EXEC,Report Sent to Review,HELIOPOLIS,EGYPT,,2015-05-02 00:00:00,2015-05-02 00:00:00,,,"Third bombing takes place in Heliopolis, two officer dead",EGYPT,CAIRO,CAIRO,TERRORISM,BOMBING (OTHER THAN IED)
2015-000020,2015-05-17 22:46:00,REPORT EXEC,Report Sent to Review,,EGYPT,,2015-05-09 00:00:00,2015-05-09 00:00:00,,,Public outrage over death of man following police brutality,EGYPT,CAIRO,CAIRO,CRIME,NA
2015-000083,2015-07-26 21:13:00,"CAIRO, OPSCENTER",Report Sent to Review,HELWAN,EGYPT,,2015-07-26 00:00:00,2015-07-26 00:00:00,OPEN SOURCE (ONLINE),,"A Sound Bomb exploded in Helwan city, Cairo Governorate.",EGYPT,CAIRO,HELWAN,TERRORISM,BOMBING (OTHER THAN IED)
2015-000065,2015-07-21 16:27:00,"CAIRO, OPSCENTER",Report Sent to Review,AHMED ‘URABI MOHANDESEEN,EGYPT,,2015-07-21 00:00:00,2015-07-21 00:00:00,OPEN SOURCE (ONLINE),,"Clashes between Police Forces and Zamalek fans in Mohandessin, Cairo Governorate.",EGYPT,CAIRO,MOHANDESEEN,ARMED CONFLICT,VIOLENT CLASHES
2015-000082,2015-07-26 16:23:00,"CAIRO, OPSCENTER",Report Sent to Review,EL-ARISH,EGYPT,,2015-07-26 00:00:00,2015-07-26 00:00:00,OPEN SOURCE (ONLINE),,"A Bomb exploded near to a Police Bus at Al-Arish Coast Road, Al-Arish City, North Sinai.",EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,BOMBING (OTHER THAN IED)
2015-000075,2015-07-23 15:18:00,"CAIRO, OPSCENTER",Report Sent to Review,KAFR SAQR,EGYPT,,2015-07-23 00:00:00,2015-07-23 00:00:00,OPEN SOURCE (ONLINE),,"Police Forces defused Two Homemade Bombs in front of Traffic department in Kafr Sakr City, Sharqia Governorate.",EGYPT,SHARQIA,KAFR SAQR,TERRORISM,IED
